id,name,icon,description,image,vocation_id,prerequisites,xp_cost,free_advances,stat_minimums,stat_maximums,enabled
druid,Druid,🌳,A keeper of nature and ancient wisdom.,classes/Class_Overview_druid.png,,,2000,sage;witch,"{""will"":4,""knowledge"":3,""survival"":3}","{""will"":8,""awareness"":6,""wisdom"":8,""deception"":3,""animal_handling"":8,""athletics"":4,""marksmanship"":3,""thievery"":2,""influence"":3,""intelligence"":5,""persuasion"":3,""knowledge"":6,""fighting"":3,""healing"":7,""crafting"":5,""stealth"":4,""agility"":3,""endurance"":5,""survival"":8,""entertaining"":3}",TRUE
duelist,Duelist,⚔️,A fighter who specializes in one-on-one combat.,classes/Class_Overview_duelist.png,,knight;warrior;soldier,1500,swordmaster;knight,{},"{""survival"":3,""stealth"":3,""wisdom"":3,""will"":5,""fighting"":9,""endurance"":6,""intelligence"":4,""awareness"":6,""healing"":3,""influence"":3,""persuasion"":4,""knowledge"":4,""entertaining"":3,""crafting"":4,""deception"":4,""marksmanship"":3,""thievery"":3,""agility"":9,""athletics"":7,""animal_handling"":3}",TRUE
enchanter,Enchanter,✨,A mage who imbues objects with magic.,classes/Class_Overview_enchanter.png,,mage,1500,spellmonger;wizard,"{""crafting"":2,""intelligence"":4,""knowledge"":3}","{""persuasion"":4,""agility"":3,""intelligence"":8,""marksmanship"":2,""knowledge"":7,""thievery"":2,""fighting"":2,""wisdom"":6,""animal_handling"":4,""will"":7,""deception"":4,""stealth"":2,""crafting"":6,""athletics"":3,""survival"":3,""healing"":4,""entertaining"":4,""endurance"":3,""awareness"":5,""influence"":4}",TRUE
engineer,Engineer,⚙️,A designer and builder of machines.,classes/Class_Overview_engineer.png,,craftsman;academic;scholar,1500,artillerist;architect,"{""knowledge"":3,""crafting"":4,""intelligence"":4}","{""deception"":3,""influence"":3,""endurance"":4,""will"":4,""knowledge"":7,""survival"":2,""agility"":3,""healing"":2,""thievery"":2,""wisdom"":4,""persuasion"":3,""entertaining"":2,""awareness"":4,""animal_handling"":3,""crafting"":8,""athletics"":5,""stealth"":2,""fighting"":3,""marksmanship"":4,""intelligence"":8}",TRUE
entertainer,Entertainer,🎪,A performer who amuses audiences.,classes/Class_Overview_entertainer.png,,,500,bard;charlatan,"{""agility"":2,""entertaining"":4}","{""awareness"":5,""thievery"":3,""survival"":4,""animal_handling"":4,""entertaining"":9,""agility"":5,""endurance"":5,""stealth"":4,""will"":3,""crafting"":4,""healing"":2,""fighting"":2,""marksmanship"":2,""athletics"":5,""persuasion"":7,""deception"":6,""intelligence"":4,""influence"":6,""wisdom"":3,""knowledge"":4}",TRUE
envoy,Envoy,📨,A diplomatic messenger between powers.,classes/Class_Overview_envoy.png,,messenger;noble,1000,advisor;spy,{},"{""healing"":2,""athletics"":4,""agility"":4,""survival"":3,""deception"":4,""fighting"":3,""will"":4,""persuasion"":7,""wisdom"":5,""thievery"":2,""endurance"":4,""entertaining"":4,""influence"":6,""crafting"":3,""knowledge"":6,""animal_handling"":4,""marksmanship"":2,""stealth"":3,""awareness"":5,""intelligence"":5}",TRUE
executioner,Executioner,⚰️,One who carries out death sentences.,classes/Class_Overview_executioner.png,,jailer;watchman;guard,1000,assassin,{},"{""endurance"":6,""athletics"":7,""awareness"":4,""marksmanship"":2,""influence"":4,""wisdom"":2,""crafting"":4,""animal_handling"":2,""deception"":3,""knowledge"":2,""stealth"":2,""intelligence"":2,""entertaining"":2,""will"":4,""survival"":2,""thievery"":2,""fighting"":7,""healing"":2,""persuasion"":4,""agility"":4}",TRUE
farmer,Farmer,🌾,A cultivator of land and crops.,classes/Class_Overview_farmer.png,,,400,herder;forager;woodsman,"{""animal_handling"":2,""survival"":2}","{""thievery"":2,""stealth"":2,""endurance"":7,""marksmanship"":3,""animal_handling"":7,""influence"":2,""survival"":6,""athletics"":6,""awareness"":4,""deception"":2,""persuasion"":2,""fighting"":3,""crafting"":5,""will"":2,""intelligence"":2,""entertaining"":2,""wisdom"":3,""knowledge"":2,""agility"":4,""healing"":3}",TRUE
fence,Fence,🏪,A dealer in stolen goods.,classes/Class_Overview_fence.png,,rogue;thief,750,smuggler;merchant,"{""persuasion"":2,""thievery"":3}","{""crafting"":4,""thievery"":4,""animal_handling"":3,""will"":3,""agility"":4,""survival"":3,""healing"":2,""influence"":5,""fighting"":2,""athletics"":4,""persuasion"":6,""endurance"":3,""deception"":7,""knowledge"":5,""entertaining"":4,""intelligence"":5,""wisdom"":3,""marksmanship"":2,""stealth"":4,""awareness"":6}",TRUE
footwizard,Footwizard,🧙,A battle mage who fights alongside infantry.,classes/Class_Overview_footwizard.png,,mage,2000,soldier,"{""intelligence"":4,""fighting"":3,""knowledge"":3}","{""persuasion"":2,""entertaining"":3,""influence"":2,""deception"":3,""marksmanship"":4,""awareness"":5,""intelligence"":6,""agility"":4,""animal_handling"":3,""athletics"":5,""will"":6,""thievery"":2,""crafting"":4,""wisdom"":5,""fighting"":6,""survival"":4,""stealth"":3,""healing"":4,""knowledge"":6,""endurance"":5}",TRUE
forager,Forager,🍄,One who gathers wild food and resources.,classes/Class_Overview_forager.png,,,500,herbalist;hunter,"{""survival"":3,""awareness"":2}","{""survival"":8,""influence"":2,""persuasion"":2,""agility"":4,""will"":2,""entertaining"":2,""animal_handling"":6,""marksmanship"":3,""crafting"":3,""wisdom"":4,""endurance"":5,""healing"":4,""stealth"":4,""athletics"":5,""awareness"":5,""thievery"":2,""fighting"":2,""intelligence"":3,""knowledge"":4,""deception"":2}",TRUE
forger,Forger,📄,A counterfeiter of documents or currency.,classes/Class_Overview_forger.png,,charlatan;rogue;conartist,1000,fence;smuggler,{},"{""fighting"":2,""survival"":2,""entertaining"":3,""stealth"":3,""animal_handling"":2,""knowledge"":5,""wisdom"":3,""influence"":4,""agility"":3,""awareness"":5,""deception"":7,""intelligence"":5,""endurance"":3,""healing"":2,""crafting"":7,""persuasion"":4,""athletics"":3,""will"":3,""thievery"":4,""marksmanship"":2}",TRUE
guard,Guard,🛡️,A protector of people or property.,classes/Class_Overview_guard.png,,,500,soldier;sentinel;watchman,"{""awareness"":2,""fighting"":2}","{""stealth"":3,""athletics"":6,""deception"":3,""influence"":4,""intelligence"":2,""marksmanship"":4,""survival"":3,""endurance"":6,""wisdom"":3,""awareness"":5,""fighting"":6,""agility"":5,""healing"":3,""crafting"":3,""will"":4,""entertaining"":2,""knowledge"":2,""thievery"":2,""animal_handling"":3,""persuasion"":4}",TRUE
healer,Healer,💚,A practitioner of medicine and care.,classes/Class_Overview_healer.png,,,1000,physician;cleric,"{""healing"":4,""intelligence"":2,""will"":3}","{""thievery"":2,""awareness"":5,""survival"":5,""animal_handling"":4,""entertaining"":3,""agility"":3,""endurance"":4,""stealth"":2,""will"":5,""healing"":8,""crafting"":4,""fighting"":2,""marksmanship"":2,""athletics"":4,""persuasion"":5,""deception"":3,""intelligence"":6,""influence"":4,""wisdom"":7,""knowledge"":6}",TRUE
hedgeknight,Hedgeknight,🗡️,A wandering knight without a lord.,classes/Class_Overview_hedgeknight.png,,,1500,knight;mercenary,"{""endurance"":3,""fighting"":5}","{""stealth"":3,""deception"":4,""animal_handling"":5,""healing"":3,""influence"":4,""survival"":4,""entertaining"":2,""awareness"":5,""crafting"":4,""fighting"":7,""endurance"":6,""persuasion"":4,""knowledge"":3,""athletics"":7,""wisdom"":3,""agility"":7,""marksmanship"":5,""thievery"":2,""will"":4,""intelligence"":3}",TRUE
hedgemage,Hedgemage,🌿,A self-taught practitioner of magic.,classes/Class_Overview_hedgemage.png,,mage,1000,mage;witch,"{""intelligence"":3,""will"":2}","{""entertaining"":3,""will"":6,""influence"":3,""crafting"":4,""survival"":4,""athletics"":3,""persuasion"":4,""deception"":4,""marksmanship"":2,""animal_handling"":4,""awareness"":5,""stealth"":3,""intelligence"":6,""agility"":3,""healing"":5,""thievery"":2,""knowledge"":6,""wisdom"":5,""fighting"":3,""endurance"":4}",TRUE
herald,Herald,📯,An official messenger and announcer.,classes/Class_Overview_herald.png,,,750,envoy;courtier,{},"{""intelligence"":4,""survival"":3,""thievery"":2,""persuasion"":6,""will"":3,""endurance"":4,""agility"":3,""awareness"":5,""influence"":6,""knowledge"":6,""stealth"":2,""marksmanship"":2,""athletics"":4,""animal_handling"":3,""fighting"":2,""healing"":2,""deception"":3,""crafting"":3,""wisdom"":4,""entertaining"":4}",TRUE
herbalist,Herbalist,🌿,An expert in plants and natural remedies.,classes/Class_Overview_herbalist.png,,,750,healer;apothecary,{},"{""knowledge"":6,""persuasion"":4,""athletics"":4,""agility"":3,""fighting"":2,""animal_handling"":5,""thievery"":2,""deception"":3,""marksmanship"":2,""influence"":3,""survival"":7,""entertaining"":3,""healing"":7,""wisdom"":6,""intelligence"":5,""crafting"":5,""awareness"":6,""stealth"":3,""will"":4,""endurance"":4}",TRUE
herder,Herder,🐑,A keeper of livestock and animals.,classes/Class_Overview_herder.png,,,500,hunter;tribesman,"{""survival"":2,""animal_handling"":3}","{""wisdom"":2,""animal_handling"":8,""deception"":2,""thievery"":2,""will"":2,""intelligence"":2,""entertaining"":2,""marksmanship"":3,""athletics"":5,""fighting"":3,""endurance"":6,""agility"":4,""healing"":4,""influence"":2,""survival"":5,""knowledge"":2,""awareness"":4,""stealth"":2,""persuasion"":2,""crafting"":3}",TRUE
highwayman,Highwayman,🎭,A mounted robber of travelers.,classes/Class_Overview_highwayman.png,,bandit;coachman;boatman;soldier;warrior,1000,raider;bountyhunter,"{""agility"":2,""marksmanship"":3,""fighting"":3}","{""agility"":7,""healing"":3,""animal_handling"":5,""survival"":5,""wisdom"":3,""fighting"":6,""awareness"":6,""crafting"":2,""knowledge"":2,""thievery"":5,""will"":3,""marksmanship"":6,""stealth"":5,""athletics"":6,""entertaining"":3,""persuasion"":5,""influence"":4,""intelligence"":2,""deception"":6,""endurance"":6}",TRUE
hunter,Hunter,🦌,A tracker and killer of wild game.,classes/Class_Overview_hunter.png,,,750,ranger;scout;bountyhunter,"{""marksmanship"":3,""awareness"":2,""survival"":3}","{""survival"":7,""intelligence"":2,""marksmanship"":7,""healing"":3,""fighting"":5,""endurance"":6,""thievery"":3,""athletics"":7,""animal_handling"":6,""will"":3,""crafting"":4,""entertaining"":2,""deception"":3,""influence"":2,""stealth"":6,""wisdom"":3,""awareness"":7,""agility"":6,""knowledge"":3,""persuasion"":2}",TRUE
interrogator,Interrogator,❓,An expert at extracting information.,classes/Class_Overview_interrogator.png,,jailer,1000,spy;sheriff,"{""influence"":2,""deception"":3,""intelligence"":3}","{""awareness"":6,""intelligence"":5,""athletics"":4,""stealth"":3,""deception"":6,""will"":6,""entertaining"":3,""survival"":3,""thievery"":3,""persuasion"":6,""influence"":5,""endurance"":5,""healing"":2,""agility"":3,""knowledge"":5,""wisdom"":4,""animal_handling"":3,""marksmanship"":2,""fighting"":5,""crafting"":3}",TRUE
investigator,Investigator,🔍,A solver of mysteries and crimes.,classes/Class_Overview_investigator.png,,watchman,1000,spy;lawyer,"{""awareness"":3,""knowledge"":2,""intelligence"":3}","{""fighting"":3,""deception"":6,""agility"":4,""influence"":5,""persuasion"":6,""marksmanship"":3,""stealth"":4,""survival"":4,""will"":4,""animal_handling"":4,""wisdom"":5,""crafting"":3,""thievery"":3,""entertaining"":3,""intelligence"":6,""awareness"":8,""athletics"":5,""endurance"":4,""healing"":3,""knowledge"":6}",TRUE
jailer,Jailer,🔐,A keeper of prisoners and dungeons.,classes/Class_Overview_jailer.png,,bailiff;guard;watchman,750,interrogator;executioner,"{""fighting"":2,""awareness"":2}","{""wisdom"":2,""endurance"":5,""thievery"":3,""intelligence"":2,""stealth"":3,""awareness"":5,""will"":3,""entertaining"":2,""knowledge"":2,""persuasion"":4,""agility"":4,""athletics"":5,""marksmanship"":3,""healing"":2,""fighting"":5,""survival"":3,""deception"":4,""crafting"":3,""animal_handling"":3,""influence"":4}",TRUE
