id,name,description,sortOrder,disabled,purpose,meaning,textureUuid,tags,domainNotes,categoryId,constructionRoles,octaveTie,symbolCue
levo,Levo,Upward motion. Lift and levitation assist.,120,false,lift,Lift - upward motion,,lift|levitation|force,,force,force,3,Ascending chevron
moto,Moto,Directional motion without strong push or pull.,130,false,move,Move - directional motion,,move|motion|force,,force,force,3,Path arrow glyph
accelero,Accelero,Increase speed of motion or effect.,140,false,accelerate,Accelerate - increase speed,,accelerate|speed|force,,force,force,3,Stacked speed marks
vincio,Vincio,Hold a target or vector in place (kinetic bind).,150,false,bind hold,Bind - hold in place (kinetic),,bind|hold|force,"{""war"":""Kinetic restraint""}",force,force,2,Wrapped cord glyph
repello,Repello,Push away. Defensive kinetic rejection.,160,false,repel,Repel - push away,,repel|push|force,"{""war"":""Force ward assist""}",force,force,3,Outward burst glyph
stabilo,Stabilo,Prevent unwanted movement. Steady a pattern.,170,false,stabilize,Stabilize - prevent movement,,stabilize|steady|force,,force,force,2,Balanced bar glyph
sigillum,Sigillum,Containment seal. Holds magical energy in place.,200,false,seal contain,Seal - containment,,seal|contain|shield|structural,"{""enchantment"":""Spell container"",""war"":""Shield lattice""}",structural,structure|framework,2,Closed loop with three anchors
nexus,Nexus,Links runes and magical pathways together.,210,false,connect link,Connection - link runes together,,link|connect|structural,"{""enchantment"":""Circuit join""}",structural,link|structure,2,Linked nodes glyph
forma,Forma,Defines the outline or shape of a spell.,220,false,shape,Shape - define spell structure,,shape|structure|structural,,structural,structure,2,Outline frame glyph
durus,Durus,Duration and persistence of a held effect.,230,false,duration endure,Endure - duration persistence,,duration|persist|structural,,structural,structure,2,Hourglass or pillar glyph
circuitus,Circuitus,Magical pathways and circuitry in a construct.,240,false,circuit pathway,Circuit - magical pathways,,circuit|pathway|structural,"{""enchantment"":""Focus wiring""}",structural,structure|framework,2,Circuit loop glyph
matrix,Matrix,Spell framework for multi-rune constructs.,250,false,framework,Matrix - spell framework,,framework|matrix|structural,"{""enchantment"":""Multi-rune scaffold""}",structural,framework,2,Grid-like pattern
ancor,Ancor,Binds a spell to an object or place.,260,false,anchor,Anchor - bind spell to object,,anchor|bind|enchant|structural,"{""enchantment"":""Matrix anchor""}",structural,link|structure,2,Spike or ring anchor glyph
arath,Arath,Division and separation. Parts wholes or severs links.,270,false,separate part split,Division - separation parting,,division|separation|sever|structural,"{""enchantment"":""Sever matrix"",""mental"":""Cut sympathy""}",structural,structure|link,2,Cleaving stroke / parted circle
octavus,Octavus,Tunes a spell to a specific magical octave.,300,false,octave tune,Octave - tune to a specific octave,,octave|tune|harmonic,,octave,octave,all,Ladder of tones glyph
transitus,Transitus,Moves energy between magical octaves.,310,false,octave shift,Shift - move energy between octaves,,octave|shift|harmonic,,octave,octave,all,Split line with ascending and descending arcs
harmonia,Harmonia,Stabilizes octave resonance. Prevents drift.,320,false,harmony,Harmony - stabilize octave resonance,,harmony|stabilize|octave,,octave,octave,5,Concentric harmonic rings
resono,Resono,Amplifies octave effects through resonance.,330,false,resonate,Resonate - amplify octave effects,,resonate|amplify|octave,,octave,octave|amplify,5,Ripple rings glyph
fractus,Fractus,Disrupts octave alignment. Breaks harmonic lock.,340,false,break octave,Break - disrupt octave alignment,,break|disrupt|octave,"{""war"":""Counter-harmonic""}",octave,octave,all,Fractured stave glyph
actus,Actus,Releases or fires a held or stored spell.,400,false,activate release,Activate - release spell,,activate|trigger|release,"{""universal"":""Spell release"",""enchantment"":""Wand trigger""}",trigger,trigger,1,Chevron pointing outward
focus,Focus,Defines target selection for a spell.,410,false,target,Target - define target,,target|aim|trigger,,trigger,trigger,1,Crosshair or point glyph
tempus,Tempus,Delay or schedule activation.,420,false,timing delay,Timing - delay or schedule activation,,timing|delay|trigger,,trigger,trigger,1,Clock arc glyph
voluntas,Voluntas,Binds release to the caster will.,430,false,intent will,Intent - bind to caster will,,intent|will|trigger,,trigger,trigger,1,Eye or will-mark glyph
sensor,Sensor,Activates when a condition is met.,440,false,detection,Detect - activate on condition,,detect|condition|trigger,"{""enchantment"":""Trap arming""}",trigger,trigger,1,Open sensor glyph
vita,Vita,Life healing and growth patterns.,500,false,life heal,Life - healing growth,,life|heal|growth|conceptual,"{""divine"":""Restorative"",""green"":""Growth""}",conceptual,concept,5,Living vine or heart glyph
mors,Mors,Decay and entropy patterns.,510,false,death decay,Death - decay entropy,,death|decay|entropy|conceptual,"{""shadow"":""Entropy""}",conceptual,concept,5,Withered mark glyph
mens,Mens,Mind and thought patterns.,520,false,mind,Mind - thought mental contact,,mind|thought|mental|conceptual,"{""mental"":""Primary mind concept""}",conceptual,concept,6,Spiral inside a circle
memoria,Memoria,Imprints or stores magical patterns and information.,530,false,memory,Memory - imprinting patterns,,memory|imprint|conceptual,"{""mental"":""Pattern store"",""enchantment"":""Spell imprint""}",conceptual,concept,6,Scroll or seal imprint glyph
identitas,Identitas,Binds a spell to a person or object identity.,540,false,identity,Identity - bind to person or object,,identity|bind|person|conceptual,"{""enchantment"":""Owner lock"",""mental"":""True name assist""}",conceptual,concept|link,6,Sigil of self glyph
sympathia,Sympathia,Resonance and magical linkage between subjects.,550,false,sympathy link,Sympathy - resonance magical linkage,,sympathy|link|resonance|conceptual,"{""mental"":""Sympathetic weave"",""enchantment"":""Linked wards""}",conceptual,concept|link,5,Two mirrored spirals touching at center
ordo,Ordo,Order and patterned stability.,560,false,order,Order - structure stability of pattern,,order|structure|conceptual,,conceptual,concept,2,Ordered lattice glyph
chaos,Chaos,Randomness and uncontrolled change.,570,false,chaos,Chaos - randomness uncontrolled change,,chaos|random|conceptual,,conceptual,concept,5,Tangled strokes glyph
mutatio,Mutatio,Transformation of form or state.,580,false,change transform,Change - transformation,,change|transform|conceptual,,conceptual,concept,5,Morphing shape glyph
illusio,Illusio,Manipulation of perception.,590,false,illusion,Illusion - perception manipulation,,illusion|perception|conceptual,"{""mental"":""Glamour""}",conceptual,concept,6,Mirrored mask glyph
magus,Magus,Amplifies spell magnitude (High Magi).,600,false,amplify,Power - amplify spell magnitude,,power|amplify|high,,high_imperial,amplify,all,Crown of force glyph
architectus,Architectus,Magical architecture and large constructs.,610,false,construct,Construct - magical architecture,,construct|architecture|high,"{""enchantment"":""Magolith frame""}",high_imperial,framework|structure,all,Blueprint arch glyph
dominus,Dominus,Commands magical systems and constructs.,620,false,control,Control - command magical systems,,control|command|high,"{""enchantment"":""Magolith control""}",high_imperial,amplify|link,all,Command seal glyph
aeternum,Aeternum,Permanence of enchanted works.,630,false,permanence,Eternal - permanence,,permanent|eternal|high,"{""enchantment"":""Lasting bind""}",high_imperial,structure,all,Endless ring glyph
regulus,Regulus,Governs magical behavior of a system.,640,false,rule govern,Rule - govern magical behavior,,rule|govern|high,,high_imperial,structure,all,Law staff glyph
collectus,Collectus,Gathers mass magical energy.,650,false,gather energy,Gather - mass energy collection,,gather|energy|high,,high_imperial,amplify,all,Converging rays glyph
eos,Eos,Legacy stub - prefer lux.,900,true,light (legacy),Light (legacy alias of lux),,light|reveal|legacy,"{""elemental"":""Photomantic focus"",""divine"":""Revelation""}",elemental,concept,4,Legacy light stub
bela,Bela,Legacy stub - prefer ancor or nexus.,910,true,binding (legacy),Binding (legacy alias),,bind|enchant|legacy,"{""enchantment"":""Matrix anchor""}",structural,link|structure,2,Legacy binding stub
selan,Selan,Legacy stub - prefer actus for release.,920,true,release (legacy),Release (legacy alias of actus),,release|dispel|legacy,"{""universal"":""Unweave""}",trigger,trigger,1,Legacy release stub
